FID,osm_id,amenity,name,short_name,official_name,alt_name,old_name,operator,operator-type,emergency,capacity,wheelchair,ref-FR-FINESS,type-FR-FINESS,ref-FR-NAF,ref-FR-SIRET,contact-website,url,phone,contact-phone,fax,contact-fax,email,contact-email,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,wikidata,wikipedia,description,opening_hours,source,note,osm_type,osm_version,osm_timestamp,healthcare-speciality,the_geom,osm_original_geom
hospitals_point.48092086,48092086,hospital,Hôpital René-Muret,,,,,Assistance publique - Hôpitaux de Paris,public,,,,930100011,101,,26750045200458,,,+33 1 41 52 59 99,,+33 1 41 52 57 99,,,,,,,,,Q3145202,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,11,2023-11-10T07:42:58Z,,POINT (279268.9767368169 6263859.006751518),"SRID=3857;POLYGON((278925.8453345678 6263718.890516574,278927.92700904567 6263713.213755203,278963.337739067 6263691.930170363,278984.27693528525 6263688.117431917,278989.1861248292 6263687.219320444,278990.2436599917 6263687.388775433,279002.04352601577 6263685.660334719,279013.576225262 6263680.153050491,279048.71978850546 6263676.4758811705,279074.8353410455 6263670.816093724,279089.8746042517 6263671.239730376,279107.6523269314 6263666.071364651,279129.9273570391 6263662.868674034,279138.06481181615 6263656.090496824,279295.5373634923 6263625.385422111,279307.2927017201 6263700.470710713,279364.5554477841 6263740.360570897,279532.2582606642 6263857.218270284,279558.93041065824 6263878.79035098,279573.74703488284 6263902.565457291,279580.81582254823 6263922.561678265,279588.0627213989 6263954.640460317,279577.88811994035 6263993.36223724,279581.81769796537 6264046.064809223,279479.51508592634 6264044.505757365,279453.7780196549 6264044.115994448,279310.8326615273 6264041.929933187,279259.714751355 6264049.623515628,279218.51540781243 6264063.536377421,279199.89165700274 6264072.704304947,278925.8453345678 6263718.890516574))"
hospitals_point.259344628,259344628,hospital,Clinique Bénigne Joly,,,,,,,,,,210780789,365,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2014,,way,14,2020-02-21T13:06:35Z,,POINT (557750.2232069478 5996876.941429839),"SRID=3857;POLYGON((557583.3550365785 5996738.292463692,557584.1565369122 5996737.799699981,557592.3051236384 5996732.757086274,557612.2535763885 5996753.814534928,557671.5868649812 5996730.75318197,557731.2875078936 5996708.69383975,557731.7995775513 5996716.003146484,557735.9963223542 5996732.855638958,557745.5141388171 5996743.039422211,557765.729758345 5996738.735951054,557771.6964830516 5996735.467285458,557779.5222432544 5996729.47199749,557785.8563222806 5996721.89987258,557793.8713256177 5996714.163500163,557800.4503075235 5996708.529585738,557816.2688071653 5996704.1275793435,557817.5712452076 5996701.450240729,557840.8370187833 5996798.623378952,557876.8600060041 5996947.621020091,557880.3331741167 5996962.125061226,557892.8232209837 5997014.096705618,557842.3620958071 5997032.395266423,557841.1375814084 5997032.838768824,557829.0928125046 5997037.273794087,557821.9015733994 5997040.082644595,557820.9664896767 5997037.273794087,557814.1203409928 5997039.934810335,557810.6583048293 5997041.1996146375,557807.2185325638 5997042.546549296,557791.3889009729 5997048.016420236,557791.2330536859 5997047.622195189,557786.913857443 5997049.149817349,557770.8838507689 5997054.68539668,557768.1342593463 5997055.654534076,557765.2399525855 5997056.689375825,557765.2065567384 5997057.3792703925,557746.3824308453 5997063.555471817,557733.725404742 5997011.02504794,557728.4599928275 5997003.403399361,557684.9229399783 5997016.954826575,557682.5740987225 5997009.891655809,557658.4066372713 5996935.9258199865,557638.569504012 5996876.858730066,557635.7308569967 5996869.3686050195,557630.5990284712 5996855.176806883,557629.3745140724 5996852.368016252,557625.3670124038 5996848.55726083,557609.8713392855 5996807.328936353,557602.5353848422 5996788.768041494,557596.4239447976 5996772.753142011,557583.3550365785 5996738.292463692))"
hospitals_point.112906594,112906594,hospital,Centre médical Rio Vert,,,,,,,,,,050000058,109,,,,,+33 4 92 54 76 76,,,,,,,650,Avenue de Marseille,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,way,4,2021-10-30T10:12:55Z,physiatry,POINT (667965.9150485095 5531297.489181643),"SRID=3857;POLYGON((667922.2880951994 5531322.174959245,667927.9653892299 5531299.573699671,667929.1899036288 5531294.429972566,667962.6970703574 5531302.846982071,667963.8102652654 5531298.326735256,667978.2817990684 5531240.343078473,667981.2874253199 5531241.122426251,667988.9684701847 5531242.9928611955,667997.0947930126 5531245.01916615,667983.7364541173 5531298.9502174435,667994.200486252 5531301.600017208,667989.7477066201 5531319.681024402,667983.959093099 5531318.278186354,667984.9609685161 5531314.38141513,667980.174230412 5531313.134448689,667975.9440897618 5531329.968510029,667978.7270770317 5531330.591994379,667977.3912431422 5531336.047484268,667922.2880951994 5531322.174959245))"
hospitals_point.89057979,89057979,hospital,Institut de Cancérologie de Lorraine,,,,Centre Alexis Vautrin,,private_non_profit,,,,540001286,131,,,http://www.icl-lorraine.fr,,,+33 3 83 59 84 00,,,,,,,,,,Q2944792,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,11,2024-02-03T11:09:18Z,,POINT (683998.0679653104 6215230.362111016),"SRID=3857;POLYGON((683934.4836509039 6215238.746710502,683947.1740728545 6215229.64828847,683956.7475490626 6215222.908722878,683954.96643721 6215220.044409117,683967.6568591604 6215211.282984792,683969.5492905038 6215213.978806696,683976.8963768962 6215208.75565253,683972.8888752277 6215202.858546845,683966.5436642524 6215193.423186256,683937.8232356278 6215151.132680928,683947.5080313268 6215143.887715077,683958.639980406 6215160.062531055,683961.422967676 6215164.274727771,683981.6831150004 6215150.458730354,683978.7888082397 6215146.246540487,683964.094635455 6215124.84864822,683970.2172074486 6215120.299496969,683988.0283259755 6215146.078052938,683993.2603420428 6215142.539815135,683999.1602750549 6215150.964193279,683991.4792301902 6215156.187311923,684009.9582656618 6215182.639929846,684017.3053520541 6215177.416794941,684023.7618825202 6215186.515161042,684037.7324786147 6215206.683240637,684045.4691832248 6215217.85405219,684041.684320538 6215220.549876181,684057.4916882305 6215242.958946225,684051.2355328479 6215247.4407673245,684012.0733359869 6215275.477476286,684028.214662152 6215298.392162884,684035.116470581 6215293.674428241,684058.7162026293 6215326.698625775,684038.7900137772 6215341.188875414,684019.6430613608 6215314.567272989,684018.4185469621 6215315.746709307,684015.6355596923 6215315.072745676,684013.4091698764 6215312.039910006,684013.9657673304 6215308.670093864,684015.0789622384 6215307.996130796,683985.5792971781 6215266.88448474,683972.2209582829 6215276.319926901,683962.8701210562 6215262.840727018,683955.1890761915 6215268.232404406,683934.4836509039 6215238.746710502))"
hospitals_point.429187086,429187086,hospital,SMR Les Alpages,,,,,CHVSM,public,,,,,,,,,,,,,,,,,,,,,,,,,Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2016,,way,3,2025-11-21T12:35:02Z,physiatry;geriatrics,POINT (602953.3950601231 6301964.4663138725),"SRID=3857;POLYGON((602913.430924035 6301932.190046245,602918.1397384956 6301932.002799707,602918.0061551066 6301928.513205899,602927.8134022455 6301928.121690587,602927.9581175835 6301931.594261818,602954.9085663046 6301930.521849963,602954.7638509666 6301926.896077551,602969.0461416354 6301926.3173159035,602969.1129333299 6301927.883376929,602979.1984791957 6301927.474839243,602979.7550766496 6301941.314064391,602988.9723304872 6301940.939570914,602991.733053859 6302009.608334717,602983.4731476421 6302009.948786102,602983.2505086606 6302004.2292046165,602976.4934155694 6302004.501565555,602975.9813459117 6301991.887858982,602940.0362823346 6301993.334774433,602940.5483519923 6302005.948483172,602933.2791892434 6302006.237866724,602933.512960174 6302011.957449571,602925.7205958187 6302012.263855903,602924.0953312531 6301971.954496115,602915.0339247026 6301972.328990969,602913.430924035 6301932.190046245))"
hospitals_point.659740129,659740129,hospital,Centre Hospitalier de Bapaume,,,,,,,,,,620000059,,,,,,,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,6,2023-11-10T22:23:15Z,,POINT (318001.7045271735 6464110.088664933),"SRID=3857;POLYGON((317753.95013987273 6464102.173719499,317765.33812378085 6464085.703475525,317769.31222960213 6464079.958856479,317783.1381103587 6464056.7200906435,317756.74425909156 6464040.822660174,317771.5608833162 6464018.1740808375,317792.51121148345 6463984.76536955,317828.3449555699 6463928.986137282,317833.6548952807 6463919.54500992,317895.92701843043 6463937.611588375,317918.6139306541 6463950.1419377,318014.76057485223 6463994.328057095,318032.9947074442 6464002.780024207,318038.22672351147 6464005.2097494025,318041.4549887445 6464006.7717159735,318058.0415928727 6464014.408001216,318080.63944950374 6464024.994680995,318093.21855196333 6464031.06901155,318113.3673797969 6464040.614397094,318129.39738647116 6464048.250713419,318162.8600254037 6464063.610143644,318158.6744125498 6464070.482847036,318175.9289336228 6464077.234068775,318190.62310640747 6464082.718355767,318195.9998378128 6464079.125800272,318199.1390474532 6464074.370439347,318241.919127765 6464094.155535533,318240.92838429695 6464107.536535172,318239.81518938905 6464122.601032649,318236.60918805416 6464131.677926222,318228.9058792913 6464153.528462098,318227.46985786007 6464169.200486268,318224.7647942338 6464198.861131143,318222.46048077435 6464226.942517963,318216.96129792917 6464294.057069603,318212.4194627048 6464292.321491238,318207.05386324855 6464303.672180333,318115.3822625803 6464271.130108567,318069.9973061839 6464253.201650915,318051.80770138826 6464247.8387412755,318025.2023430887 6464237.425334388,318007.2799050709 6464230.309513849,317999.710179697 6464227.359053464,317999.48754071543 6464227.87972287,317979.56135186343 6464220.590354178,317979.89531033585 6464219.89612892,317972.2142654711 6464216.945672227,317978.64853203896 6464201.065290958,317969.0639238816 6464196.639616333,317961.4608026605 6464193.793301352,317955.7389808337 6464197.8545071725,317951.3975206927 6464208.788532703,317924.9034818839 6464198.548730588,317881.60019996535 6464180.360096235,317861.67401111335 6464173.556724145,317810.13308687607 6464149.779676645,317792.91196165036 6464139.296970733,317762.1655182932 6464119.303502065,317767.6869650366 6464110.1745558,317762.6664560018 6464107.25884884,317753.95013987273 6464102.173719499))"
hospitals_point.429886860,429886860,hospital,Centre hospitalier Émile Roux,,,,,,public,yes,,,430000117,355,,,,,+33 4 71 04 32 10,,+33 4 71 04 33 70,,,,,,,,,Q30279881,,,,,,way,12,2023-10-31T15:13:09Z,intensive,POINT (431761.3953655204 5629593.834651854),"SRID=3857;POLYGON((431450.44602005504 5629551.227285451,431451.3588398795 5629524.976194364,431453.1622156304 5629477.91035396,431523.7721686405 5629438.991013076,431656.13104319375 5629215.389263142,431691.9759192292 5629243.84535421,431739.9100919648 5629290.98875486,431779.0611568768 5629382.0776884435,431820.61672278994 5629431.61684111,431876.54363496444 5629481.156266094,431984.4122215431 5629545.066308226,432005.9748069098 5629561.043889577,432070.284076741 5629654.010654622,432080.8816922646 5629668.034538018,432082.6628041173 5629687.258323754,432069.68295149074 5629733.127702754,432053.708604562 5629751.2013421785,432009.8932529857 5629749.247433465,432002.5795624406 5629776.602193991,431952.7974861578 5629855.342138097,431932.8824292549 5629922.327571108,431908.4478010258 5629925.037883746,431857.7640368676 5629907.846321457,431748.2367898761 5629830.902269928,431606.1374598785 5629698.761100402,431518.3397774899 5629629.965260395,431463.1253100564 5629587.421142072,431450.44602005504 5629551.227285451))"
hospitals_point.586129718,586129718,hospital,Centre Hospitalier d'Albert,,,,,,public,,,,800000184,355,,,,,+33 3 22 74 41 35,,+33 3 22 74 41 41,,,,,,,,,,,,,,,way,5,2023-10-30T10:25:05Z,,POINT (295494.1274154072 6446235.368318031),"SRID=3857;POLYGON((295243.0562950458 6446174.910840554,295243.88005927776 6446167.2562754825,295288.57483483123 6446140.56926089,295320.14504242025 6446128.290838391,295350.5352634068 6446121.883206196,295353.3182506766 6446121.363668665,295357.6597108175 6446120.324593701,295366.78790906264 6446118.419623276,295405.5270918587 6446110.2802090915,295408.08744014695 6446109.587493356,295479.55455323623 6446094.347761803,295517.73713857826 6446086.208371151,295559.4374198294 6446072.077022445,295594.6589067164 6446054.51677696,295596.1060600967 6446053.824065866,295603.8984244522 6446049.840978194,295608.01724561164 6446047.416490977,295609.7983574644 6446046.377425244,295633.84336747567 6446029.92556841,295635.5131598376 6446028.8865048615,295647.9809428064 6446020.400824051,295649.8733741499 6446019.015407594,295671.7921818871 6446004.624407813,295688.75727228395 6446008.971145198,295736.96974374657 6446118.211808349,295628.7560667464 6446182.357596135,295635.991833648 6446193.752876868,295598.5105610979 6446216.785938734,295670.9127579098 6446332.644938091,295673.69574517966 6446336.974528359,295667.4618536953 6446340.957753394,295508.05234287924 6446441.231741878,295497.4769912539 6446447.812805802,295448.941693268 6446477.843305644,295429.07116416143 6446473.911971072,295375.69346832606 6446388.237048274,295357.77103030833 6446359.4884340465,295361.2219345229 6446355.851568234,295362.0345668057 6446350.794595558,295361.2219345229 6446346.326451019,295341.8523431249 6446315.153416327,295339.6816130544 6446312.1053925315,295335.55165994604 6446311.274113505,295328.4606083825 6446311.274113505,295243.0562950458 6446174.910840554))"
hospitals_point.131346634,131346634,hospital,Centre hospitalier intercommunal des Alpes du Sud,CHICAS,,Centre hospitalier de Gap,,,public,yes,,,050000348,355,,,,,+33 4 92 40 61 61,,+33 4 92 40 61 03,,,,,1,Place Auguste Muret,,,Q64937929,,,,,,way,24,2024-12-30T08:38:55Z,intensive,POINT (676063.6292903585 5552080.015129784),"SRID=3857;POLYGON((675797.8081103512 5552049.167716415,675811.6117272096 5552027.733489499,675834.2429796879 5552018.328691602,675956.2268776991 5552006.0805973,675991.8268508549 5551989.17700446,676011.5637965725 5551963.32175459,676068.047306201 5551953.854533453,676069.0825774653 5551953.338991991,676086.5263416726 5551934.138998968,676102.4227649579 5551925.624775822,676231.4531867364 5551923.718840723,676256.3776207251 5551938.591394064,676259.2162677404 5551943.168770945,676261.3090741672 5551945.777720574,676261.019643491 5551949.183416425,676262.8007553437 5551951.229959042,676229.583019291 5551982.80301458,676232.7110969824 5551985.333862969,676217.638437929 5551995.769714378,676249.5648678885 5552040.747121242,676274.756468655 5552077.257253562,676272.4632871447 5552078.678917649,676270.8602864773 5552079.694392135,676268.0995631056 5552081.287906172,676264.6152630437 5552083.537573519,676257.8581699525 5552087.818192094,676256.6670514011 5552086.162186129,676251.2012644032 5552089.958502139,676252.592758038 5552092.333153286,676231.3752630928 5552107.049755164,676216.5920347156 5552112.236503756,676214.7663950665 5552120.625919637,676210.2468237402 5552139.6075875,676209.912865268 5552141.794778111,676198.4469577163 5552191.006706029,676196.4432068819 5552194.287510697,676193.5489001214 5552197.0996299265,676175.2479758349 5552210.129127035,676171.9529189075 5552212.488186663,676161.088136606 5552220.440253097,676160.1530528833 5552219.75284433,676156.9247876504 5552221.940054226,676151.5035284488 5552222.783692467,676147.1398044096 5552217.300045286,676143.7556918894 5552217.471897427,676140.7500656381 5552217.784355871,676137.655383794 5552222.299381616,676135.673896858 5552222.939921782,676129.2618941881 5552222.861807125,676104.7716062136 5552224.642821467,676106.1185720523 5552218.237420638,676102.9793624119 5552217.924962174,676098.4152632894 5552217.378159894,676097.5692351593 5552221.643218566,676077.7543657981 5552218.04994556,676075.8062747093 5552225.095886575,676061.4794562442 5552222.783692467,676061.735491073 5552220.393384313,676056.2585721259 5552219.799713105,676053.041438842 5552219.127927312,676051.3048547858 5552226.876901354,676030.9333879704 5552226.8144096015,676016.2169512876 5552226.361344409,676006.9106418573 5552225.252115927,675974.6502534254 5552220.9089409225,675951.6739105256 5552219.049812688,675946.9762280143 5552213.003742822,675948.6126245288 5552194.943671773,675944.9168174345 5552194.490608167,675940.1078154322 5552194.412493754,675937.5697310421 5552208.379361351,675931.0018810855 5552213.675528165,675925.0796841752 5552213.784888574,675876.1770318697 5552208.035657416,675880.9526380247 5552178.352184833,675896.6486862266 5552161.745105351,675904.8084049018 5552147.5283445725,675907.1461142083 5552131.936801722,675887.9323700975 5552092.380021408,675797.8081103512 5552049.167716415))"
hospitals_point.175890803,175890803,hospital,Clinique mutualiste La Sagesse,,,,,,,no,,,350000139,365,86.10Z,77559107600234,,,+33 2 99 85 75 75,,+33 2 99 85 76 00,,,,,4,Place Saint-Guénolé,Rennes,35000,,,,Mo-Sa 08:30-20:00,,,way,12,2024-11-12T10:49:02Z,,POINT (-190671.9996953404 6123588.934206612),"SRID=3857;POLYGON((-190796.67576622876 6123642.143043128,-190793.89277895892 6123605.6212657755,-190792.01147956453 6123580.984572809,-190791.376958467 6123574.450360302,-190784.97608774639 6123552.080721556,-190742.4186464161 6123411.046661273,-190595.6438978052 6123475.404310551,-190576.09619522188 6123483.98870072,-190565.81027427258 6123488.489258224,-190574.88281277224 6123622.973674583,-190546.9972803285 6123642.976494905,-190545.53899499914 6123643.876622916,-190559.39827160287 6123681.632077483,-190587.12795675948 6123731.3228432,-190589.14283954288 6123773.946114695,-190789.5624507671 6123663.479434198,-190782.93894106487 6123649.77746445,-190796.67576622876 6123642.143043128))"
hospitals_point.24323226,24323226,hospital,Hôpital du Scorff,Centre Hospitalier du Scorff,,,,Centre Hospitalier de Bretagne Sud,public,yes,,,560000135,355,,,https://www.ghbs.bzh/,,,+33 2 97 06 90 90,,,,,,,,,,Q3145328,,,,Centre Hospitalier de Bretagne Sud,,way,22,2025-10-02T07:38:08Z,intensive,POINT (-373647.7257354202 6065869.990381921),"SRID=3857;POLYGON((-374028.546480008 6065895.884951767,-374008.58689530875 6065860.352876506,-373865.6971969265 6065916.383018965,-373858.95123578445 6065909.627592401,-373846.0493068015 6065916.614822908,-373840.5501239563 6065919.595159925,-373778.26686885743 6065790.282596448,-373895.05214664864 6065729.633851443,-373846.5057167137 6065584.131586857,-373846.1383623941 6065572.359719997,-373835.99715678283 6065571.117962825,-373825.7334997317 6065570.290124811,-373776.95329886617 6065566.36617371,-373562.0621538388 6065549.329292804,-373561.72819536645 6065551.365769507,-373561.2717854541 6065552.806204539,-373560.7597157965 6065554.114185982,-373559.92481961555 6065555.6539618615,-373558.72256911494 6065557.309635154,-373557.04164480395 6065558.948752033,-373555.23826905317 6065560.240177666,-373553.34583770967 6065561.167355169,-373551.4200105189 6065561.763397898,-373549.93946129136 6065562.044862536,-373548.75947468897 6065562.177316486,-373547.30118935957 6065562.177316486,-373546.3995014842 6065562.061419279,-373472.85071391705 6065551.730017424,-373471.4258244349 6065551.547893462,-373469.35528190614 6065551.614120357,-373466.87285726145 6065551.994925007,-373464.6909952419 6065552.574410378,-373463.2661057597 6065553.087668883,-373461.95253576833 6065553.650597599,-373460.6278338279 6065554.345980183,-373459.11388875317 6065555.223486857,-373457.81145071087 6065556.183777283,-373456.9097628355 6065556.87916007,-373455.9412832655 6065557.69044006,-373455.0061995429 6065558.683844232,-373454.0154560748 6065559.793145697,-373453.202823792 6065560.836220336,-373452.5683026945 6065561.746841157,-373452.05623303686 6065562.525008114,-373451.63321897184 6065563.319731892,-373451.07662151783 6065564.296579965,-373450.5868157584 6065565.356211901,-373395.105181547 6065738.044844908,-373394.82688282005 6065738.823027789,-373394.403868755 6065739.534982404,-373393.9140629955 6065740.213822901,-373393.2906738471 6065740.8926634565,-373392.80086808756 6065741.323147736,-373392.1106872447 6065741.852974572,-373391.56522173976 6065742.184116363,-373390.93070064223 6065742.498701073,-373390.39636708645 6065742.730500343,-373389.8842974288 6065742.929185433,-373388.94921370613 6065743.127870531,-373388.2812967614 6065743.177541805,-373380.84515477635 6065781.010579397,-373404.2556436902 6065982.000342269,-373432.20796782844 6066183.640553369,-373480.5094948836 6066177.16640199,-373510.9887714628 6066181.554253419,-373533.464176654 6066168.986790577,-373576.82311831793 6066157.942671706,-373684.10171159543 6066197.863833969,-373815.29173149535 6066139.596550501,-373881.15947419766 6065996.951823464,-374014.5981478116 6066022.732013105,-374028.546480008 6065895.884951767))"
hospitals_point.133510600,133510600,hospital,Clinique Belledonne,,,,,Groupe Alpes-Belledonne,private,,,yes,380786442,365,,,,,+33 4 38 38 02 02,,+33 4 38 38 02 02,,,,,83,Avenue Gabriel Péri,Saint-Martin-d'Hères,38400,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2011,,way,9,2025-03-11T18:20:49Z,intensive,POINT (641238.1500394553 5650917.582879158),"SRID=3857;POLYGON((641135.0560115491 5650906.580531293,641243.3364802437 5650871.785519366,641297.5936000564 5650860.713689525,641326.4698759682 5650955.180053866,641279.5264467006 5650966.710040906,641274.5727293603 5650947.993562576,641236.1897689347 5650959.6341019,641147.4792667215 5650947.361783397,641135.0560115491 5650906.580531293))"
hospitals_point.155221786,155221786,hospital,Pôle de Santé du Plateau,,,Clinique de Meudon,,,,yes,,yes,920300597,365,,77569138900024,,,+33 1 41 28 10 00,,+33 1 46 31 83 88,,info@poleduplateau.com,,,3,Avenue de Villacoublay,Meudon,92360,,,,,https://www.data.gouv.fr/fr/datasets/entreprises-de-grand-paris-seine-ouest-de-plus-de-50-salaries-2013/,,way,16,2023-11-03T19:22:50Z,,POINT (248555.54508210282 6238350.10707269),"SRID=3857;POLYGON((248488.2579046716 6238302.896822246,248489.7495858482 6238299.230654704,248493.08917057203 6238300.565342244,248493.13369836836 6238300.751184829,248506.62562065248 6238306.039252833,248508.17296157448 6238302.068977823,248508.6738992831 6238301.579029124,248509.09691334813 6238301.342502171,248509.60898300575 6238301.207343918,248510.1767124088 6238301.274923046,248537.19395282434 6238311.867957805,248535.21246588824 6238316.902610547,248631.97136728573 6238354.916024707,248624.29032242097 6238375.173020347,248619.18075779357 6238373.179418963,248617.22153475558 6238378.163423304,248598.9874021637 6238370.983078997,248587.94450867697 6238366.641085507,248584.1707779391 6238376.186716147,248577.26896950993 6238393.622302861,248554.10338347586 6238384.482131322,248498.96683968595 6238362.738361743,248505.7461966752 6238345.522471843,248524.8152254481 6238352.837953662,248528.6223520332 6238343.106505791,248509.40860792235 6238335.537609614,248498.35458248656 6238331.178739434,248497.87590867613 6238330.925316816,248497.54195020374 6238330.536735489,248497.430630713 6238330.181943858,248497.40836681484 6238329.624414176,248497.4862904584 6238329.387886444,248498.85552019515 6238325.873760924,248505.16733532315 6238309.756107715,248488.2579046716 6238302.896822246))"
hospitals_point.1387467822,1387467822,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,1,2025-05-17T09:50:25Z,,POINT (705470.5482233833 5372066.628622891),"SRID=3857;POLYGON((705410.3622661822 5372037.790674051,705410.8409399925 5372033.669741255,705411.3752735483 5372030.559893554,705412.4773365072 5372027.633880165,705417.631428931 5372021.077162416,705423.5647577903 5372015.883877575,705433.628039758 5372008.3160871705,705444.4594262121 5372002.096409797,705455.1127014811 5371999.109127812,705465.9440879353 5371997.286120302,705553.2185687172 5371993.1345667215,705542.2647308232 5372016.0370717775,705518.0972693719 5372107.708935274,705517.7744428486 5372108.934501078,705516.1380463339 5372113.377178473,705512.5758226286 5372115.675115891,705437.145735667 5372156.241464767,705433.1938937439 5372157.773430053,705428.5741348759 5372158.309617965,705424.522105411 5372157.6815121295,705420.2363050155 5372155.368244664,705417.1972829169 5372151.614931126,705415.9505046201 5372149.500820499,705413.8576981932 5372144.031710451,705412.5329962525 5372138.1796130715,705411.8094195625 5372088.896520481,705410.5515093165 5372042.570345606,705410.3622661822 5372037.790674051))"
hospitals_point.682309112,682309112,hospital,Nouvel Hôpital d'Obernai,NHO,,,,Groupe hospitalier Sélestat-Obernai,public,,,,670000405,355,,,,,+33 3 88 95 14 00,,,,,,,3,Avenue du Maire Gillmann,Obernai,67210,,,,,,,way,8,2026-03-27T14:48:19Z,,POINT (833620.5476328208 6182918.218910525),"SRID=3857;POLYGON((833503.9192101494 6182828.259221684,833595.8468456464 6182809.863006175,833694.1864838132 6182809.829436476,833751.9279036878 6182980.3316482445,833573.4048363025 6183038.828221556,833572.915030543 6183038.99607457,833549.3709582402 6183046.532678211,833524.2016213719 6182969.236647649,833517.6894311605 6182971.250867561,833507.2587948731 6182939.711595397,833536.7584599333 6182929.338406327,833503.9192101494 6182828.259221684))"
hospitals_point.94299286,94299286,hospital,Onco'Kerné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,7,2024-05-26T16:18:02Z,oncology,POINT (-455956.48068018485 6104698.901795303),"SRID=3857;POLYGON((-456010.9431974185 6104695.696963849,-455996.0263856523 6104694.200061249,-455995.9150661615 6104694.699028752,-455988.0113823152 6104693.867416259,-455988.2340212968 6104691.37257927,-455955.728729985 6104688.2124534575,-455953.39102067845 6104679.56369402,-455948.49296308355 6104681.06059407,-455948.8269215559 6104682.391172106,-455944.04018345184 6104683.555428062,-455942.8156690531 6104679.39737181,-455939.03080636606 6104680.72794959,-455940.2553207647 6104684.719684173,-455935.9138606239 6104685.883940443,-455935.57990215154 6104684.886006488,-455927.67621830513 6104686.881874514,-455929.1233716855 6104692.037869064,-455924.1139945998 6104693.534771285,-455922.55552172865 6104688.545098223,-455915.3197548272 6104690.374644676,-455900.848221024 6104694.699028752,-455897.28599731857 6104695.530641322,-455896.2841219015 6104696.528576515,-455895.72752444743 6104697.193866707,-455895.1709269936 6104698.690769829,-455895.1709269936 6104699.855027995,-455896.5067608831 6104702.682512766,-455897.50863630016 6104703.347803434,-455898.7331506989 6104703.347803434,-455901.51613796875 6104703.347803434,-455916.32163024426 6104699.023415004,-455915.54239380866 6104706.674257558,-455951.3872698442 6104710.0007129675,-455951.83254780737 6104704.345739536,-455956.1740079483 6104704.678384929,-455955.50609100354 6104710.333358581,-455972.5379730949 6104711.996586834,-455972.9832510581 6104706.175289356,-455978.1039476345 6104706.674257558,-455977.6586696713 6104712.661878226,-455986.5642289348 6104713.327169669,-455986.78686791647 6104711.830263993,-455994.2452737996 6104712.495555372,-455994.6905517627 6104706.674257558,-456002.37159662746 6104707.505871292,-456001.9263186643 6104712.162909675,-456009.71868301986 6104713.1608468015,-456010.2752804737 6104708.337485103,-456009.71868301986 6104708.337485103,-456010.9431974185 6104695.696963849))"
hospitals_point.772855781,772855781,hospital,Polyclinique des Alpes du Sud,,,,,,,,,,050000090,365,,,,,+33 4 92 40 15 15,,,,,,,3,Rue Antonin Coronat,,,,,,,,,way,3,2024-03-31T16:28:39Z,,POINT (675733.8475540453 5553859.299591257),"SRID=3857;POLYGON((675471.6308703779 5553743.990796955,675544.1889144769 5553719.802483979,675578.8204080628 5553702.489441606,675596.4422834553 5553698.1455606995,675611.5149425087 5553699.19246706,675623.904801834 5553704.567629969,675639.2891554616 5553703.973861816,675657.2004615302 5553696.067373805,675675.111767599 5553693.379794468,675694.6706021313 5553703.973861816,675924.5787464665 5553917.170372849,675943.6923030359 5553915.670291978,675973.5481904666 5553881.637273719,676025.8015594449 5553928.217851065,676016.2392151857 5553938.062149899,676033.259965328 5553952.687984997,676004.895759074 5553982.25224491,675944.282296337 5553930.592982505,675922.942349952 5553932.389957365,675895.5020954714 5553959.891529952,675853.9687934564 5554001.519068588,675826.3504277905 5554052.7255779,675817.3892087818 5554063.460698978,675471.6308703779 5553743.990796955))"
hospitals_point.616342937,616342937,hospital,Hôpital Saint-Romain de Colbosc,,,,,,,,,,760000380,,,,,,,,,,,,,,,,,Q92061570,,,,Le ministère des solidarités et de la santé - 03/2019,,way,6,2023-03-15T06:59:42Z,,POINT (40500.52082115701 6364363.116849718),"SRID=3857;POLYGON((40329.8715278006 6364491.096457678,40347.66038242938 6364411.522946236,40342.5842136492 6364410.4082364645,40364.49188943731 6364319.465567435,40383.59431405744 6364233.394204469,40384.44034218747 6364229.604272354,40753.75388484323 6364281.017162618,40758.173268627725 6364286.487732206,40758.173268627725 6364295.062299869,40755.31235771434 6364301.030204141,40695.54492310744 6364347.796083802,40560.43645713163 6364434.846138596,40514.18320870703 6364472.009035763,40432.80866093714 6364537.571853567,40329.8715278006 6364491.096457678))"
